• Fact ID: 50452000, Category: without_numbers, Fact: Here's looking at you. Dogs have three eyelids, an upper lid, a lower lid and the third lid, called a nictitating membrane or "haw," which helps keep the eye moist and protected., Created Date: 2023-10-02T02:22:00.272Z
• Fact ID: 41600412, Category: without_numbers, Fact: Dogs are direct descendants of wolves., Created Date: 2024-05-12T08:17:49.657Z
• Fact ID: 34594229, Category: without_numbers, Fact: Dachshunds were originally bred for fighting badgers., Created Date: 2024-07-11T22:49:15.819Z
• Fact ID: 78206701, Category: without_numbers, Fact: The Chihuahua was named after the state in Mexico where they were discovered., Created Date: 2024-02-13T12:17:10.103Z
• Fact ID: 78779493, Category: with_numbers, Fact: The earliest dog fossil dates back to nearly 10,000 B.C., Created Date: 2023-10-21T13:42:31.896Z
• Fact ID: 96162389, Category: with_numbers, Fact: Dogs can smell about 1,000 times better than humans. While humans have 5 million smell-detecting cells, dogs have more than 220 million. The part of the brain that interprets smell is also four times larger in dogs than in humans., Created Date: 2023-08-05T22:31:44.473Z
• Fact ID: 92352989, Category: without_numbers, Fact: Dogs who bark the most: Miniature Schnauzers, Cairn Terriers, Yorkshire Terriers, Fox Terriers and West Highland White Terriers., Created Date: 2024-04-30T09:51:12.862Z
• Fact ID: 37731569, Category: without_numbers, Fact: Dogs can count up to five and can perform simple mathematical calculations., Created Date: 2024-03-13T11:07:45.588Z
• Fact ID: 74874382, Category: without_numbers, Fact: Dogs belong to a biological family called the Canidae, a member of this family is called a canid. This is the origin of the adjective "canine" which means "of or like a dog, relating to or characteristic of dogs"., Created Date: 2024-04-14T00:25:43.063Z
• Fact ID: 30337860, Category: with_numbers, Fact: The border collie or sheep dog is often considered to be the most intelligent breed of dog some of them have been trained to recognize the words for up to 1,000 objects and retrieved them by verbal command., Created Date: 2023-08-03T00:57:14.917Z
• Fact ID: 45725458, Category: with_numbers, Fact: A dog's heart beats up to 120 times per minute, or 50 faster than the average human heartbeat of 80 times per minute, Created Date: 2023-12-06T06:04:37.129Z
• Fact ID: 46249329, Category: with_numbers, Fact: In ancient Greece, kennels of dogs were kept at the sanctuary of Asclepius at Epidaurus. Dogs were frequently sacrificed there because they were plentiful, inexpensive, and easy to control. During the July 25 celebration of the kunophontis "the massacre of dogs", dog sacrifices were performed to appease the ancestors of Apollo's son, Linos, who was devoured by dogs.., Created Date: 2024-05-19T05:23:03.498Z
• Fact ID: 43300441, Category: without_numbers, Fact: Dalmatians are completely white at birth., Created Date: 2023-09-02T07:09:10.585Z
• Fact ID: 79271318, Category: with_numbers, Fact: The origin of amputating a dog's tail may go back to the Roman writer Lucius Columella's "A.D. 4-70"} assertion that tail docking prevented rabies. , Created Date: 2023-10-19T07:57:31.759Z
• Fact ID: 18465597, Category: without_numbers, Fact: Is it a duck... or a dog? The Newfoundland breed has a water resistant coat and webbed feet. This dog was originally bred to help haul nets for fishermen and rescuing people at risk of drowning., Created Date: 2024-06-02T18:55:44.949Z
• Fact ID: 4355706, Category: without_numbers, Fact: Dogs have twice as many muscles to move their ears as people., Created Date: 2024-01-23T12:12:15.140Z
• Fact ID: 33784309, Category: with_numbers, Fact: A one year old dog is as physically mature as a 15 year old human., Created Date: 2023-11-14T19:59:10.681Z
